2014-8-31	0	3	hugo lloris	danny rose	younes kaboul	jan vertonghen	eric dier	erik lamela	christian eriksen	etienne capoue	nabil bentaleb	emmanuel adebayor	nacer chadli	ben davies	andros townsend	mousa dembele	brad friedel	vlad chiriches	lewis holtby	harry kane	simon mignolet	dejan lovren	mamadou sakho	 alberto moreno	 manquillo	steven gerrard	jordan henderson	joe allen	raheem sterling	daniel sturridge	mario balotelli	 jose enrique	emre can	lazar markovic	brad jones	kolo toure	 coutinho	rickie lambert
2014-8-31	1	1	kasper schmeichel	ritchie de laet	paul konchesky	wes morgan	jeffrey schlupp	liam moore	dean hammond	andy king	riyad mahrez	leonardo ulloa	david nugent	danny drinkwater	marc albrighton	jamie vardy	ben hamer	marcin wasilewski	esteban cambiasso	chris wood	wojciech szczesny	mathieu debuchy	per mertesacker	laurent koscielny	 nacho monreal	mesut ozil	aaron ramsey	 santi cazorla	mathieu flamini	alexis sanchez	yaya sanogo	calum chambers	lukas podolski	alex oxlade chamberlain	emiliano martinez	tomas rosicky	jack wilshere	joel campbell
2014-9-13	2	2	wojciech szczesny	mathieu debuchy	per mertesacker	laurent koscielny	 nacho monreal	jack wilshere	mesut ozil	aaron ramsey	mathieu flamini	alexis sanchez	danny welbeck	calum chambers	 mikel arteta	alex oxlade chamberlain	david ospina	kieran gibbs	 santi cazorla	lukas podolski	joe hart	vincent kompany	pablo zabaleta	gael clichy	martin demichelis	james milner	 jesus navas	frank lampard	 david silva	 fernandinho	kun aguero	aleksandar kolarov	samir nasri	edin dzeko	willy caballero	bacary sagna	eliaquim mangala	scott sinclair
2014-9-13	4	2	thibaut courtois	branislav ivanovic	gary cahill	john terry	 azpilicueta	 cesc fabregas	 oscar	nemanja matic	eden hazard	andre schurrle	 diego costa	 ramires	mohamed salah	loic remy	petr cech	 filipe luis	kurt zouma	 willian	lukasz fabianski	 jordi amat	neil taylor	ashley williams	 angel rangel	sung yueng ki	jonjo shelvey	nathan dyer	wayne routledge	gylfi sigurdsson	bafetimbi gomis	federico fernandez	jefferson montero	wilfried bony	gerhard tremmel	dwight tiendalli	tom carroll	marvin emnes
2014-9-13	0	0	julian speroni	joel ward	adrian mariappa	scott dann	damien delaney	mile jedinak	james mcarthur	jason puncheon	frazier campbell	wilfried zaha	dwight gayle	yannick bolasie	jonathan williams	kevin doyle	wayne hennessey	ezekiel fryers	martin kelly	joe ledley	tom heaton	kieran trippier	michael duff	jason shackell	ben mee	dean marney	david jones	scott arfield	danny ings	lukas jutkiewicz	george boyd	marvin sordell	matt gilks	steven reid	stephen ward	kevin long	ross wallace	ashley barnes
2014-9-13	4	0	fraser forster	nathaniel clyne	 jose fonte	toby alderweireld	ryan bertrand	morgan schneiderlin	steven davis	jack cork	shane long	dusan tadic	graziano pelle	florin gardos	victor wanyama	james ward prowse	kelvin davis	maya yoshida	samuel mcqueen	emmanuel mayuka	tim krul	fabricio coloccini	mike williamson	massadio haidara	daryl janmaat	moussa sissoko	vurnon anita	jack colback	remy cabella	yoan gouffran	emmanuel riviere	cheick tiote	 ayoze perez	sammy ameobi	rob elliot	steven taylor	gabriel obertan	adam armstrong
2014-9-13	0	1	asmir begovic	phil bardsley	erik pieters	marc wilson	ryan shawcross	glenn whelan	steven n zonzi	victor moses	jon walters	peter crouch	 bojan	 muniesa	mame diouf	oussama assaidi	thomas sorensen	robert huth	charlie adam	marko arnautovic	ben hamer	ritchie de laet	paul konchesky	wes morgan	jeffrey schlupp	liam moore	dean hammond	andy king	riyad mahrez	leonardo ulloa	david nugent	danny drinkwater	esteban cambiasso	jamie vardy	adam smith	marcin wasilewski	anthony knockaert	chris wood
2014-9-13	2	2	vito mannone	patrick van aanholt	wes brown	john o shea	santiago vergini	lee cattermole	sebastian larsson	jack rodwell	adam johnson	ricardo alvarez	connor wickham	 jordi gomez	emanuele giaccherini	will buckley	costel pantilimon	billy jones	liam bridcutt	jozy altidore	hugo lloris	danny rose	younes kaboul	vlad chiriches	eric dier	erik lamela	mousa dembele	christian eriksen	etienne capoue	emmanuel adebayor	nacer chadli	aaron lennon	benjamin stambouli	harry kane	michel vorm	kyle naughton	federico fazio	andros townsend
2014-9-13	0	2	ben foster	andre wisdom	jonas olsson	sebastien pocognoli	craig dawson	james morrison	craig gardner	chris brunt	graham dorrans	brown ideye	saido berahino	cristian gamboa	sebastian blanco	georgios samaras	luke daniels	gareth mcauley	chris baird	claudio yacob	tim howard	leighton baines	phil jagielka	seamus coleman	john stones	aiden mcgeady	james mccarthy	gareth barry	romelu lukaku	kevin mirallas	steven naismith	muhamed besic	leon osman	 joel	luke garbutt	antolin alcaraz	darron gibson	christian atsu
2014-9-13	0	1	simon mignolet	dejan lovren	mamadou sakho	 alberto moreno	 manquillo	steven gerrard	 coutinho	jordan henderson	adam lallana	lazar markovic	mario balotelli	raheem sterling	rickie lambert	fabio borini	brad jones	 jose enrique	kolo toure	 lucas leiva	brad guzan	nathan baker	philippe senderos	alan hutton	aly cissokho	tom cleverley	ashley westwood	fabian delph	kieran richardson	andreas weimann	gabriel agbonlahor	carlos sanchez	charles n zogbia	darren bent	shay given	jores okore	leandro bacuna	jack grealish
