2013-9-14	1	1	allan mcgregor	maynor figueroa	james chester	curtis davies	ahmed al muhammadi	tom huddlestone	robert koren	robbie brady	jake livermore	sone aluko	danny graham	stephen quinn	eldin jakupovic	liam rosenior	alex bruce	paul mcshane	david meyler	george boyd	joe lewis	andrew taylor	steven caulker	ben turner	kevin theophile catherine	peter whittingham	gary medel	bo kyung kim	aron gunnarsson	don cowie	frazier campbell	jordon mutch	rudy gestede	nicky maynard	simon moore	mark hudson	craig noone	peter odemwingie
2013-9-14	0	0	asmir begovic	erik pieters	robert huth	marc wilson	ryan shawcross	geoff cameron	steven n zonzi	charlie adam	matthew etherington	kenwyne jones	jon walters	stephen ireland	marko arnautovic	peter crouch	thomas sorensen	glenn whelan	jermaine pennant	wilson palacios	joe hart	pablo zabaleta	aleksandar kolarov	matija nastasic	james milner	samir nasri	 javi garcia	jack rodwell	yaya toure	 alvaro negredo	stevan jovetic	 jesus navas	kun aguero	costel pantilimon	joleon lescott	dedryck boyata	 fernandinho	edin dzeko
2013-9-14	1	3	keiren westwood	ondrej celustka	modibo diakite	valentin roberge	sung yueng ki	adam johnson	jack colback	david vaughan	charis mavrias	steven fletcher	jozy altidore	craig gardner	connor wickham	fabio borini	vito mannone	wes brown	 cuellar	sebastian larsson	wojciech szczesny	bacary sagna	laurent koscielny	carl jenkinson	kieran gibbs	jack wilshere	mesut ozil	aaron ramsey	mathieu flamini	olivier giroud	theo walcott	thomas vermaelen	 nacho monreal	chuba akpom	lukasz fabianski	emmanuel frimpong	ryo miyaichi	serge gnabry
2013-9-14	2	0	hugo lloris	kyle walker	danny rose	jan vertonghen	michael dawson	 paulinho	andros townsend	mousa dembele	gylfi sigurdsson	christian eriksen	 soldado	erik lamela	lewis holtby	 sandro	brad friedel	younes kaboul	kyle naughton	jermain defoe	john ruddy	steven whittaker	sebastien bassong	michael turner	 javi garrido	bradley johnson	robert snodgrass	leroy fer	nathan redmond	ricky van wolfswinkel	johan elmander	jonny howson	anthony pilkington	alexander tettey	mark bunn	russell martin	martin olsson	gary hooper
2013-9-14	1	0	tim howard	leighton baines	phil jagielka	sylvain distin	seamus coleman	gareth barry	ross barkley	leon osman	nikica jelavic	kevin mirallas	steven naismith	john stones	james mccarthy	 gerard deulofeu	 joel	john heitinga	bryan oviedo	magaye gueye	petr cech	branislav ivanovic	ashley cole	 david luiz	john terry	 ramires	 mata	john mikel	andre schurrle	eden hazard	samuel eto o	frank lampard	 oscar	 fernando torres	mark schwarzer	gary cahill	michael essien	kevin de bruyne
2013-9-15	0	0	artur boruc	nathaniel clyne	dejan lovren	 jose fonte	luke shaw	morgan schneiderlin	victor wanyama	adam lallana	rickie lambert	jay rodriguez	pablo osvaldo	calum chambers	james ward prowse	kelvin davis	jos hooiveld	steven davis	gaston ramirez	 guly	jussi jaaskelainen	winston reid	james collins	guy demel	kevin nolan	matthew jarvis	ravel morrison	mark noble	joey o brien	momo diame	modibo maiga	razvan rat	matthew taylor	 ricardo vaz te	 adrian	james tomkins	jack collison	elliot lee
2013-9-16	2	2	michel vorm	 chico	ashley williams	 angel rangel	ben davies	leon britton	jonjo shelvey	nathan dyer	wayne routledge	 michu	wilfried bony	jonathan de guzman	 pozuelo	gerhard tremmel	 jordi amat	dwight tiendalli	 canas	 alvaro	simon mignolet	 jose enrique	mamadou sakho	martin skrtel	andre wisdom	steven gerrard	 coutinho	jordan henderson	 lucas leiva	victor moses	daniel sturridge	kolo toure	raheem sterling	 iago aspas	brad jones	martin kelly	 luis alberto	jordon ibe
2013-9-21	0	1	john ruddy	russell martin	sebastien bassong	michael turner	 javi garrido	robert snodgrass	jonny howson	leroy fer	nathan redmond	ricky van wolfswinkel	johan elmander	ryan bennett	anthony pilkington	gary hooper	mark bunn	steven whittaker	wes hoolahan	alexander tettey	brad guzan	ron vlaar	ciaran clark	leandro bacuna	 antonio luna	karim el ahmadi	fabian delph	aleksandar tonev	andreas weimann	gabriel agbonlahor	christian benteke	yacouba sylla	nicklas helenius	libor kozak	jed steer	nathan baker	joe bennett	marc albrighton
2013-9-21	0	1	simon mignolet	kolo toure	daniel agger	mamadou sakho	martin skrtel	steven gerrard	jordan henderson	 lucas leiva	 iago aspas	victor moses	daniel sturridge	 jose enrique	 luis alberto	raheem sterling	brad jones	martin kelly	andre wisdom	jordon ibe	artur boruc	nathaniel clyne	dejan lovren	 jose fonte	luke shaw	morgan schneiderlin	victor wanyama	adam lallana	rickie lambert	jay rodriguez	pablo osvaldo	steven davis	james ward prowse	jack cork	kelvin davis	calum chambers	jos hooiveld	gaston ramirez
2013-9-21	2	3	tim krul	fabricio coloccini	davide santon	mapou yanga mbiwa	mathieu debuchy	yohan cabaye	moussa sissoko	vurnon anita	hatem ben arfa	papiss demba cisse	loic remy	sylvain marveaux	cheick tiote	yoan gouffran	rob elliot	mike williamson	paul dummett	sammy ameobi	allan mcgregor	liam rosenior	james chester	curtis davies	ahmed al muhammadi	tom huddlestone	robbie brady	jake livermore	sone aluko	stephen quinn	danny graham	david meyler	george boyd	yannick sagbo	steve harper	alex bruce	abdoulaye faye	nick proschwitz
2013-9-21	3	0	boaz myhill	jonas olsson	liam ridgewell	gareth mcauley	billy jones	james morrison	scott sinclair	morgan amalfitano	youssuf mulumbu	stephane sessegnon	nicolas anelka	claudio yacob	victor anichebe	saido berahino	lee camp	goran popov	diego lugano	markus rosenberg	keiren westwood	ondrej celustka	john o shea	modibo diakite	sung yueng ki	craig gardner	adam johnson	jack colback	emanuele giaccherini	steven fletcher	fabio borini	lee cattermole	charis mavrias	jozy altidore	vito mannone	 cuellar	el hadji ba	dong won ji
2013-9-21	2	3	jussi jaaskelainen	winston reid	razvan rat	james collins	kevin nolan	matthew jarvis	ravel morrison	mark noble	joey o brien	momo diame	modibo maiga	matthew taylor	 ricardo vaz te	mladen petric	 adrian	george mccartney	james tomkins	jack collison	tim howard	leighton baines	phil jagielka	sylvain distin	seamus coleman	gareth barry	ross barkley	leon osman	nikica jelavic	kevin mirallas	steven naismith	bryan oviedo	james mccarthy	romelu lukaku	 joel	john heitinga	john stones	 gerard deulofeu
2013-9-21	2	0	petr cech	branislav ivanovic	ashley cole	gary cahill	john terry	 ramires	 oscar	john mikel	andre schurrle	eden hazard	samuel eto o	frank lampard	kevin de bruyne	 fernando torres	mark schwarzer	 azpilicueta	michael essien	 willian	david stockdale	brede hangeland	sascha riether	 amorebieta	steven sidwell	pajtim kasami	alexander kacaniklic	kieran richardson	damien duff	scott parker	darren bent	adel taarabt	hugo rodallega	 mesca	neil etheridge	philippe senderos	elsad zverotic	giorgios karagounis
2013-9-22	3	1	wojciech szczesny	bacary sagna	per mertesacker	laurent koscielny	kieran gibbs	jack wilshere	mesut ozil	aaron ramsey	mathieu flamini	olivier giroud	serge gnabry	 nacho monreal	 mikel arteta	ryo miyaichi	emiliano viviano	thomas vermaelen	carl jenkinson	nicklas bendtner	asmir begovic	erik pieters	robert huth	marc wilson	ryan shawcross	geoff cameron	steven n zonzi	charlie adam	kenwyne jones	marko arnautovic	jon walters	jermaine pennant	wilson palacios	stephen ireland	thomas sorensen	glenn whelan	matthew etherington	peter crouch
2013-9-22	0	2	julian speroni	adrian mariappa	daniel gabbidon	dean moxey	damien delaney	mile jedinak	adlene guedioura	jason puncheon	barry bannan	marouane chamakh	cameron jerome	 campana	jerome thomas	dwight gayle	neil alexander	stuart o keefe	jimmy kebe	kevin phillips	michel vorm	 chico	ashley williams	 angel rangel	ben davies	jonjo shelvey	nathan dyer	wayne routledge	 canas	 michu	 alvaro	leon britton	jonathan de guzman	 pozuelo	gerhard tremmel	 jordi amat	dwight tiendalli	wilfried bony
2013-9-22	0	1	david marshall	andrew taylor	steven caulker	ben turner	kevin theophile catherine	peter whittingham	gary medel	bo kyung kim	aron gunnarsson	frazier campbell	craig bellamy	don cowie	peter odemwingie	joe lewis	mark hudson	jordon mutch	joe mason	nicky maynard	hugo lloris	kyle walker	jan vertonghen	kyle naughton	michael dawson	 paulinho	andros townsend	mousa dembele	gylfi sigurdsson	christian eriksen	 soldado	erik lamela	lewis holtby	harry kane	brad friedel	vlad chiriches	ezekiel fryers	 sandro
